,seq_num[ce],MinElevationMeters[ce],MaxElevationMeters[ce],ScientificName,Genus,SpecificEpithet
17,ee97fb1c-5c57-11de-98cb-001f29e2923c,183.0,183.0,Anoplolepis gracilipes,Anoplolepis,gracilipes
18,e23609aa-b745-11e4-8441-00248188a0be,183.0,183.0,Paratrechina longicornis,Paratrechina,longicornis
19,eea2ea54-5c57-11de-98cb-001f29e2923c,42.0,42.0,Gnathothlibus erotus,Gnathothlibus,erotus
20,eea2eb08-5c57-11de-98cb-001f29e2923c,243.0,243.0,Gnathothlibus erotus,Gnathothlibus,erotus
21,eea2ed2e-5c57-11de-98cb-001f29e2923c,243.0,243.0,Piletocera signiferalis,Piletocera,signiferalis
22,eea2f152-5c57-11de-98cb-001f29e2923c,243.0,243.0,Piletocera signiferalis,Piletocera,signiferalis
23,eea2f2b0-5c57-11de-98cb-001f29e2923c,243.0,243.0,Chrysodeixis chalcites,Chrysodeixis,chalcites
24,eea30700-5c57-11de-98cb-001f29e2923c,880.0,880.0,Lampides boeticus,Lampides,boeticus
25,d032f6f2-903a-11e2-a3e9-001f29e2923c,243.0,243.0,Pisistrata trypheropa,Pisistrata,trypheropa
26,eea31178-5c57-11de-98cb-001f29e2923c,243.0,243.0,Macarostola pontificalis,Macarostola,pontificalis
27,eea3122c-5c57-11de-98cb-001f29e2923c,243.0,243.0,Macarostola pontificalis,Macarostola,pontificalis
28,eea31650-5c57-11de-98cb-001f29e2923c,243.0,243.0,Anatrachyntis lunulifera,Anatrachyntis,lunulifera
29,eea32e42-5c57-11de-98cb-001f29e2923c,375.0,375.0,Anatrachyntis lunulifera,Anatrachyntis,lunulifera
30,eea32ef6-5c57-11de-98cb-001f29e2923c,375.0,375.0,Anatrachyntis lunulifera,Anatrachyntis,lunulifera
31,eea331da-5c57-11de-98cb-001f29e2923c,1.0,1.0,Assara halmophila,Assara,halmophila
32,eea34fa8-5c57-11de-98cb-001f29e2923c,822.0,822.0,Stemorrhages thetydalis,Stemorrhages,thetydalis
33,eea35106-5c57-11de-98cb-001f29e2923c,822.0,822.0,Callopistria alticola,Callopistria,alticola
34,eea351b0-5c57-11de-98cb-001f29e2923c,822.0,822.0,Callopistria steevei,Callopistria,steevei
35,eea35264-5c57-11de-98cb-001f29e2923c,822.0,822.0,Chrysodeixis chalcites,Chrysodeixis,chalcites
36,eea3532c-5c57-11de-98cb-001f29e2923c,822.0,822.0,Mocis trifasciata,Mocis,trifasciata
37,eea3548a-5c57-11de-98cb-001f29e2923c,42.0,42.0,Chasmina tibialis,Chasmina,tibialis
38,eea3553e-5c57-11de-98cb-001f29e2923c,42.0,42.0,Thalassodes pilaria,Thalassodes,pilaria
39,eea35da4-5c57-11de-98cb-001f29e2923c,42.0,42.0,Cryptoblabes plagioleuca,Cryptoblabes,plagioleuca
40,eea381f8-5c57-11de-98cb-001f29e2923c,245.0,245.0,Macroglossum hirundo,Macroglossum,hirundo
41,eea3840a-5c57-11de-98cb-001f29e2923c,245.0,245.0,Assara halmophila,Assara,halmophila
42,eea38f5e-5c57-11de-98cb-001f29e2923c,245.0,245.0,Cnaphalocrocis hemicrossa,Cnaphalocrocis,hemicrossa
43,eea3b3e4-5c57-11de-98cb-001f29e2923c,2.0,2.0,Kallitaxila sinica,Kallitaxila,sinica
44,eea3c1ae-5c57-11de-98cb-001f29e2923c,1.0,1.0,Assara halmophila,Assara,halmophila
45,eea3fa2a-5c57-11de-98cb-001f29e2923c,413.0,413.0,Hyblaea puera,Hyblaea,puera
46,eea3fade-5c57-11de-98cb-001f29e2923c,413.0,413.0,Macroglossum hirundo,Macroglossum,hirundo
47,eea3fb88-5c57-11de-98cb-001f29e2923c,413.0,413.0,Chrysodeixis chalcites,Chrysodeixis,chalcites
48,eea3fc3c-5c57-11de-98cb-001f29e2923c,413.0,413.0,Spodoptera litura,Spodoptera,litura
49,eea3fce6-5c57-11de-98cb-001f29e2923c,413.0,413.0,Anomis sabulifera,Anomis,sabulifera
50,eea3fd90-5c57-11de-98cb-001f29e2923c,413.0,413.0,Cryptophlebia pallifimbriana,Cryptophlebia,pallifimbriana
51,eea3ffb6-5c57-11de-98cb-001f29e2923c,420.0,420.0,Eudocima fullonia,Eudocima,fullonia
52,eea4006a-5c57-11de-98cb-001f29e2923c,420.0,420.0,Gnathothlibus erotus,Gnathothlibus,erotus
53,eea40114-5c57-11de-98cb-001f29e2923c,420.0,420.0,Macroglossum hirundo,Macroglossum,hirundo
54,eea4081c-5c57-11de-98cb-001f29e2923c,420.0,420.0,Hyblaea puera,Hyblaea,puera
55,eea408da-5c57-11de-98cb-001f29e2923c,420.0,420.0,Chasmina tibialis,Chasmina,tibialis
56,eea40aec-5c57-11de-98cb-001f29e2923c,420.0,420.0,Anomis sabulifera,Anomis,sabulifera
57,eea40db2-5c57-11de-98cb-001f29e2923c,420.0,420.0,Piletocera signiferalis,Piletocera,signiferalis
58,eea40f10-5c57-11de-98cb-001f29e2923c,420.0,420.0,Endotricha mesenterialis,Endotricha,mesenterialis
59,eea42298-5c57-11de-98cb-001f29e2923c,420.0,420.0,Stoeberhinus testaceus,Stoeberhinus,testaceus
60,eea4359e-5c57-11de-98cb-001f29e2923c,353.0,353.0,Ornidia obesa,Ornidia,obesa
61,ccccfb20-a2cb-11e4-8c9e-00248188a0be,54.0,54.0,Omiodes diemenalis,Omiodes,diemenalis
62,eea45b50-5c57-11de-98cb-001f29e2923c,236.0,236.0,Maruca vitrata,Maruca,vitrata
63,eea46456-5c57-11de-98cb-001f29e2923c,236.0,236.0,Cryptophlebia pallifimbriana,Cryptophlebia,pallifimbriana
64,eea46500-5c57-11de-98cb-001f29e2923c,236.0,236.0,Cryptophlebia pallifimbriana,Cryptophlebia,pallifimbriana
65,eea465b4-5c57-11de-98cb-001f29e2923c,470.0,470.0,Cryptophlebia pallifimbriana,Cryptophlebia,pallifimbriana
66,eea47464-5c57-11de-98cb-001f29e2923c,236.0,236.0,Cryptoblabes plagioleuca,Cryptoblabes,plagioleuca
67,8b5f92ce-5df8-11de-96b8-001f29e2923c,138.0,158.0,Colocasia esculenta,Colocasia,esculenta
68,2c3d5b74-7634-11de-b1b5-001f29e2923c,50.0,50.0,Heteropsylla cubana,Heteropsylla,cubana
69,2c79776c-7634-11de-b1b5-001f29e2923c,100.0,100.0,Mesohomotoma hibisci,Mesohomotoma,hibisci
70,2c7e0624-7634-11de-b1b5-001f29e2923c,100.0,100.0,Kallitaxila sinica,Kallitaxila,sinica
71,afe41efe-7643-11de-b1b5-001f29e2923c,,,Ceresium unicolor,Ceresium,unicolor
72,aff95d0a-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
73,b0027610-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
74,b023da76-7643-11de-b1b5-001f29e2923c,,,Leptoglossus australis,Leptoglossus,australis
75,b04f4378-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
76,b07a1594-7643-11de-b1b5-001f29e2923c,,,Ceresium unicolor,Ceresium,unicolor
77,b07d202c-7643-11de-b1b5-001f29e2923c,,,Protaetia fusca,Protaetia,fusca
78,b0835082-7643-11de-b1b5-001f29e2923c,,,Ceresium unicolor,Ceresium,unicolor
79,b0867c8a-7643-11de-b1b5-001f29e2923c,,,Raiatea ouliatea,Raiatea,ouliatea
80,b0898a4c-7643-11de-b1b5-001f29e2923c,,,Raiatea ouliatea,Raiatea,ouliatea
81,b0915592-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
82,b09aacaa-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
83,b09f4486-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
84,b0a3d9c4-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
85,b0a87088-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
86,b0ac5e14-7643-11de-b1b5-001f29e2923c,,,Placosternus crinicornis,Placosternus,crinicornis
87,e1bb2174-dacb-11de-8a69-001f29e2923c,130.0,130.0,Anoplolepis gracilipes,Anoplolepis,gracilipes
88,f97109a4-b73f-11e4-8441-00248188a0be,,,Cimex lectularius,Cimex,lectularius
89,f143cede-a1bd-11df-a7a8-001f29e2923c,600.0,600.0,Homalodisca vitripennis,Homalodisca,vitripennis
90,20dd9a28-82f0-11de-a532-001f29e2923c,1900.0,1900.0,Batracomorphus colina,Batracomorphus,colina
91,20e0c8a6-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
92,20e3ef36-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
93,20e72642-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
94,20ea494e-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
95,20ed6b60-82f0-11de-a532-001f29e2923c,,,Tharra nitida,Tharra,nitida
96,20f08a48-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
97,20fd152e-82f0-11de-a532-001f29e2923c,500.0,500.0,Tharra tahitiensis,Tharra,tahitiensis
98,21003592-82f0-11de-a532-001f29e2923c,1400.0,1400.0,Batracomorphus colina,Batracomorphus,colina
99,210351f0-82f0-11de-a532-001f29e2923c,1900.0,1900.0,Tharra tahitiensis,Tharra,tahitiensis
100,21067254-82f0-11de-a532-001f29e2923c,300.0,300.0,Tharra tahitiensis,Tharra,tahitiensis
101,2109a2ee-82f0-11de-a532-001f29e2923c,300.0,300.0,Tharra tahitiensis,Tharra,tahitiensis
102,210cc0a0-82f0-11de-a532-001f29e2923c,,,Tharra tahitiensis,Tharra,tahitiensis
103,210fdd44-82f0-11de-a532-001f29e2923c,500.0,500.0,Tharra tahitiensis,Tharra,tahitiensis
104,21133340-82f0-11de-a532-001f29e2923c,500.0,500.0,Tharra tahitiensis,Tharra,tahitiensis
105,21165200-82f0-11de-a532-001f29e2923c,300.0,300.0,Tharra tahitiensis,Tharra,tahitiensis
106,2122f7da-82f0-11de-a532-001f29e2923c,500.0,500.0,Balclutha rosea,Balclutha,rosea
107,21261956-82f0-11de-a532-001f29e2923c,,,Dryadomorpha metrosideri,Dryadomorpha,metrosideri
108,212942ca-82f0-11de-a532-001f29e2923c,1400.0,1400.0,Dryadomorpha metrosideri,Dryadomorpha,metrosideri
109,21410810-82f0-11de-a532-001f29e2923c,,,Balclutha incisa,Balclutha,incisa
110,2148b5a6-82f0-11de-a532-001f29e2923c,,,Empoasca solana,Empoasca,solana
111,214bd6dc-82f0-11de-a532-001f29e2923c,,,Empoasca solana,Empoasca,solana
112,214ef93e-82f0-11de-a532-001f29e2923c,,,Exitianus plebeius,Exitianus,plebeius
113,21522492-82f0-11de-a532-001f29e2923c,,,Exitianus plebeius,Exitianus,plebeius
114,21554cee-82f0-11de-a532-001f29e2923c,,,Exitianus plebeius,Exitianus,plebeius
115,21586cc6-82f0-11de-a532-001f29e2923c,,,Gyponana germari,Gyponana,germari
116,215b9e96-82f0-11de-a532-001f29e2923c,,,Gyponana germari,Gyponana,germari
117,215ebebe-82f0-11de-a532-001f29e2923c,600.0,600.0,Homalodisca vitripennis,Homalodisca,vitripennis
118,2161e026-82f0-11de-a532-001f29e2923c,,,Homalodisca vitripennis,Homalodisca,vitripennis
119,2165004e-82f0-11de-a532-001f29e2923c,500.0,500.0,Balclutha rosea,Balclutha,rosea
120,216823be-82f0-11de-a532-001f29e2923c,500.0,500.0,Homalodisca vitripennis,Homalodisca,vitripennis
121,2187815a-82f0-11de-a532-001f29e2923c,,,Balclutha rosea,Balclutha,rosea
122,219a8318-82f0-11de-a532-001f29e2923c,800.0,800.0,Sophonia rufofascia,Sophonia,rufofascia
123,21aa460e-82f0-11de-a532-001f29e2923c,,,Balclutha rosea,Balclutha,rosea
124,21dc9c1c-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
125,21dfc086-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
126,21e2f026-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
127,21e7aa08-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
128,21ec76dc-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
129,21f1218c-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
130,21fa73ae-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
131,21fefdfc-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
132,22021bb8-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
133,2205793e-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
134,220899e8-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
135,220bbaf6-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
136,220ee35c-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
137,2212050a-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
138,221542c4-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
139,2218604e-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
140,221ed2d0-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
141,2221fe74-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
142,22251eec-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
143,2228522e-82f0-11de-a532-001f29e2923c,800.0,800.0,Tharra nitida,Tharra,nitida
144,222b6ea0-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
145,222e8d92-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
146,2231ab30-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
147,2234caf4-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
148,2237e932-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
149,223b0fd6-82f0-11de-a532-001f29e2923c,465.0,465.0,Tharra nitida,Tharra,nitida
150,223e4660-82f0-11de-a532-001f29e2923c,1400.0,1400.0,Batracomorphus colina,Batracomorphus,colina
151,2241526a-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
152,22445244-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
153,22474dbe-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
154,224a6c2e-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
155,224f57de-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
156,2254168e-82f0-11de-a532-001f29e2923c,712.0,712.0,Tharra nitida,Tharra,nitida
157,2258d39a-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
158,225d9af6-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
159,22624524-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
160,226704f6-82f0-11de-a532-001f29e2923c,722.0,722.0,Tharra nitida,Tharra,nitida
161,9f7d6e20-27f6-11df-8033-001f29e2923c,457.0,457.0,Gyponana germari,Gyponana,germari
162,9288ec20-8946-11de-a532-001f29e2923c,30.0,30.0,Cylas formicarius,Cylas,formicarius
163,f8639c80-27f6-11df-8033-001f29e2923c,310.0,310.0,Homalodisca vitripennis,Homalodisca,vitripennis
164,5e32fa48-894a-11de-a532-001f29e2923c,30.0,30.0,Lagocheirus araneiformis,Lagocheirus,araneiformis
165,5e36265a-894a-11de-a532-001f29e2923c,30.0,30.0,Coleotichus adamsoni,Coleotichus,adamsoni
166,5f02a068-894a-11de-a532-001f29e2923c,30.0,30.0,Hermetia illucens,Hermetia,illucens
167,09f909fc-bab1-11de-9329-001f29e2923c,310.0,310.0,Macroglossum hirundo,Macroglossum,hirundo
168,09fc1c14-bab1-11de-9329-001f29e2923c,310.0,310.0,Hyblaea puera,Hyblaea,puera
169,8a9c8bbe-85c3-11e4-b3bf-00248188a0be,310.0,310.0,Herpetogramma licarsisalis,Herpetogramma,licarsisalis
170,782d3046-85c3-11e4-b3bf-00248188a0be,310.0,310.0,Herpetogramma licarsisalis,Herpetogramma,licarsisalis
171,0dfb8f92-85c3-11e4-b3bf-00248188a0be,310.0,310.0,Maruca vitrata,Maruca,vitrata
172,0a8244ba-bab1-11de-9329-001f29e2923c,310.0,310.0,Cydia pseudomalesana,Cydia,pseudomalesana
173,7d176a42-85c1-11e4-b3bf-00248188a0be,310.0,310.0,Pectinophora gossypiella,Pectinophora,gossypiella
174,0b030d02-bab1-11de-9329-001f29e2923c,800.0,800.0,Targalla delatrix,Targalla,delatrix
175,f5a37f4e-8695-11e4-93ff-00248188a0be,800.0,800.0,Opogona regressa,Opogona,regressa
176,be94c902-c832-11e4-8441-00248188a0be,800.0,800.0,Plutella xylostella,Plutella,xylostella
177,895884c6-27f7-11df-8033-001f29e2923c,800.0,800.0,Tharra tahitiensis,Tharra,tahitiensis
178,0b55a0ee-bab1-11de-9329-001f29e2923c,800.0,800.0,Dichelopa argoschista,Dichelopa,argoschista
179,75be9ece-8697-11e4-93ff-00248188a0be,800.0,800.0,Labdia dicyanitis,Labdia,dicyanitis
180,0baca844-bab1-11de-9329-001f29e2923c,350.0,350.0,Trissodoris honorariella,Trissodoris,honorariella
181,0bd5597e-bab1-11de-9329-001f29e2923c,1120.0,1120.0,Hippotion celerio,Hippotion,celerio
182,330f50b8-868e-11e4-93ff-00248188a0be,840.0,840.0,Hypena longfieldiae,Hypena,longfieldiae
183,f1682dce-868d-11e4-93ff-00248188a0be,840.0,840.0,Condica hollowayi,Condica,hollowayi
184,c50e97f0-868c-11e4-93ff-00248188a0be,840.0,840.0,Condica hollowayi,Condica,hollowayi
185,12888286-8690-11e4-93ff-00248188a0be,840.0,840.0,Condica illecta,Condica,illecta
186,9db52ed2-868f-11e4-93ff-00248188a0be,840.0,840.0,Callopistria steevei,Callopistria,steevei
187,e31cb55e-27f7-11df-8033-001f29e2923c,940.0,940.0,Lallemandana fenestrata,Lallemandana,fenestrata
188,00a0cc8c-27f8-11df-8033-001f29e2923c,940.0,940.0,Tharra tahitiensis,Tharra,tahitiensis
189,13aa3480-27f8-11df-8033-001f29e2923c,940.0,940.0,Tharra tahitiensis,Tharra,tahitiensis
190,2b2c0bf6-27f8-11df-8033-001f29e2923c,940.0,940.0,Tharra tahitiensis,Tharra,tahitiensis
191,836caa5e-27fe-11df-8033-001f29e2923c,940.0,940.0,Tharra tahitiensis,Tharra,tahitiensis
192,0d03775e-bab1-11de-9329-001f29e2923c,940.0,940.0,Dichelopa argoschista,Dichelopa,argoschista
193,b10e7aba-8694-11e4-93ff-00248188a0be,940.0,940.0,Opogona discordia,Opogona,discordia
194,8d5dec68-8694-11e4-93ff-00248188a0be,940.0,940.0,Opogona discordia,Opogona,discordia
195,6b5f3ebe-8694-11e4-93ff-00248188a0be,940.0,940.0,Opogona discordia,Opogona,discordia
196,297450c0-8694-11e4-93ff-00248188a0be,940.0,940.0,Opogona discordia,Opogona,discordia
197,3cf6e0da-8695-11e4-93ff-00248188a0be,940.0,940.0,Adeana leucoxantha,Adeana,leucoxantha
198,0d737234-bab1-11de-9329-001f29e2923c,300.0,300.0,Cydia pseudomalesana,Cydia,pseudomalesana
199,dea76232-8b1e-11e4-93ff-00248188a0be,300.0,300.0,Pectinophora gossypiella,Pectinophora,gossypiella
200,dbf94840-8b1c-11e4-93ff-00248188a0be,75.0,75.0,Omiodes diemenalis,Omiodes,diemenalis
201,7ecfac18-8b1c-11e4-93ff-00248188a0be,75.0,75.0,Luceria oculalis,Luceria,oculalis
202,394c2d4c-85bd-11e4-b3bf-00248188a0be,75.0,75.0,Plutella xylostella,Plutella,xylostella
203,02beb706-8b1f-11e4-93ff-00248188a0be,340.0,340.0,Labdia dicyanitis,Labdia,dicyanitis
204,556be868-8695-11e4-93ff-00248188a0be,410.0,410.0,Adeana leucoxantha,Adeana,leucoxantha
205,0e12e1fc-bab1-11de-9329-001f29e2923c,410.0,410.0,Omiodes diemenalis,Omiodes,diemenalis
206,550e27f2-85c1-11e4-b3bf-00248188a0be,310.0,310.0,Targalla delatrix,Targalla,delatrix
207,131bb65c-85c1-11e4-b3bf-00248188a0be,310.0,310.0,Aedia sericea,Aedia,sericea
208,62bb2e5a-85c0-11e4-b3bf-00248188a0be,310.0,310.0,Callopistria steevei,Callopistria,steevei
209,b1205776-85bd-11e4-b3bf-00248188a0be,310.0,310.0,Callopistria maillardi,Callopistria,maillardi
210,7676fb16-85c2-11e4-b3bf-00248188a0be,310.0,310.0,Chrysodeixis chalcites,Chrysodeixis,chalcites
211,e2aa181e-a2cc-11e4-8c9e-00248188a0be,15.0,15.0,Omiodes diemenalis,Omiodes,diemenalis
212,da44816a-a465-11e4-8c9e-00248188a0be,15.0,15.0,Chasmina tibialis,Chasmina,tibialis
213,7dd7dd58-27f8-11df-8033-001f29e2923c,422.0,422.0,Sophonia orientalis,Sophonia,orientalis
214,74c0ac90-2e4c-11df-9a73-001f29e2923c,,,Balclutha rosea,Balclutha,rosea
215,c2384c30-27f8-11df-8033-001f29e2923c,700.0,700.0,Tharra tahitiensis,Tharra,tahitiensis
216,4b36c63e-2e4c-11df-9a73-001f29e2923c,80.0,80.0,Gyponana germari,Gyponana,germari
217,7e58d8f0-cf37-11de-af82-001f29e2923c,,,Aleurothrixus floccosus,Aleurothrixus,floccosus
218,7f328b4c-e051-11de-8a69-001f29e2923c,,,Monomorium pharaonis,Monomorium,pharaonis
219,7f66733a-e051-11de-8a69-001f29e2923c,,,Monomorium floricola,Monomorium,floricola
220,7f903328-e051-11de-8a69-001f29e2923c,,,Wasmannia auropunctata,Wasmannia,auropunctata
221,7fb3ddaa-e051-11de-8a69-001f29e2923c,,,Tetramorium caldarium,Tetramorium,caldarium
222,7fd7dd22-e051-11de-8a69-001f29e2923c,,,Tetramorium caldarium,Tetramorium,caldarium
223,7fde58b4-e051-11de-8a69-001f29e2923c,,,Tetramorium caldarium,Tetramorium,caldarium
224,7fe4e7d8-e051-11de-8a69-001f29e2923c,,,Paratrechina bourbonica,Paratrechina,bourbonica
225,7fecf57c-e051-11de-8a69-001f29e2923c,,,Paratrechina bourbonica,Paratrechina,bourbonica
226,7ff35f70-e051-11de-8a69-001f29e2923c,,,Paratrechina bourbonica,Paratrechina,bourbonica
227,7ff9c338-e051-11de-8a69-001f29e2923c,,,Paratrechina longicornis,Paratrechina,longicornis
228,7fff3322-e051-11de-8a69-001f29e2923c,,,Paratrechina longicornis,Paratrechina,longicornis
229,8003455c-e051-11de-8a69-001f29e2923c,,,Paratrechina longicornis,Paratrechina,longicornis
230,800c896e-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
231,8011523c-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
232,80156aa2-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
233,80197408-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
234,801d9a38-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
235,8021d094-e051-11de-8a69-001f29e2923c,,,Pheidole umbonata,Pheidole,umbonata
236,8026196a-e051-11de-8a69-001f29e2923c,,,Monomorium liliuokalanii,Monomorium,liliuokalanii
237,802c8c3c-e051-11de-8a69-001f29e2923c,,,Monomorium liliuokalanii,Monomorium,liliuokalanii
238,8032fd10-e051-11de-8a69-001f29e2923c,,,Monomorium liliuokalanii,Monomorium,liliuokalanii
239,8039760e-e051-11de-8a69-001f29e2923c,,,Monomorium liliuokalanii,Monomorium,liliuokalanii
240,803debd0-e051-11de-8a69-001f29e2923c,,,Hypoponera punctatissima,Hypoponera,punctatissima
241,8042b2be-e051-11de-8a69-001f29e2923c,,,Hypoponera punctatissima,Hypoponera,punctatissima
242,8055eb7c-e051-11de-8a69-001f29e2923c,,,Strumigenys rogeri,Strumigenys,rogeri
243,805e7e22-e051-11de-8a69-001f29e2923c,,,Strumigenys godeffroyi,Strumigenys,godeffroyi
244,8065010c-e051-11de-8a69-001f29e2923c,,,Anochetus graeffei,Anochetus,graeffei
245,806bd90a-e051-11de-8a69-001f29e2923c,,,Anochetus graeffei,Anochetus,graeffei
246,80725636-e051-11de-8a69-001f29e2923c,,,Hypoponera punctatissima,Hypoponera,punctatissima
247,8078eeec-e051-11de-8a69-001f29e2923c,,,Strumigenys rogeri,Strumigenys,rogeri
248,8085e372-e051-11de-8a69-001f29e2923c,,,Anochetus graeffei,Anochetus,graeffei
249,808c4fa0-e051-11de-8a69-001f29e2923c,,,Monomorium australicum,Monomorium,australicum
250,8090b414-e051-11de-8a69-001f29e2923c,,,Monomorium australicum,Monomorium,australicum
251,8094f0f6-e051-11de-8a69-001f29e2923c,,,Anochetus graeffei,Anochetus,graeffei
252,80992bd0-e051-11de-8a69-001f29e2923c,,,Anochetus graeffei,Anochetus,graeffei
